,level_0,index,D_l,D_s,alpha,ampl_fitted,chi_2_1,chi_2_2,del_t,f_s_fitted,f_s_true,length,m_l,mu_l_b,mu_l_l,mu_s_b,mu_s_l,name,q_fitted,q_fitted_log,q_true,q_true_log,rho,s_<_1,s_>_1,s_fitted,s_fitted_log,s_true,s_true_log,t0_fitted,t0_true,tE_fitted,tE_true,tEp_fitted,tEp_true,tp_fitted,u0_fitted,u0_true,x_c,tEp_true_2,tEp_fitted_2
0,0,0,7.776,26.2507,299.248,-0.348915258,-19220.5899,-19057.47574,8.1097952,0.181622512,0.0404942,38323,0.25,-3.463,2.657,24.5438,24.6925,cassan_0_100_1920.det.lc.gz,0.035594471,-1.448617451,0.00657481,-2.182116793,0.000670771,0.564176356,1.772495407,0.564176356,-0.248585119,0.648391,-0.188163022,1399.779596,1399.617332,8.045092333,10.5872,1.517827116,0.8585,1407.638038,0.71126484,0.460375,1.208319051,0.858494624858,1.517827116
1,1,1,5.993,25.7241,30.6511,-0.005772799,-19091.8481,-19044.44455,1.2607749,0.824438623,0.537885,38323,0.3,0.08,2.789,23.9633,24.0747,cassan_0_101_1499.det.lc.gz,5.47e-06,-5.261676035,3.5e-06,-5.456013859,0.0014752,0.927740224,1.077887941,0.927740224,-0.032573613,0.959463,-0.017971768,1392.56495,1392.56511,12.74771833,12.7351,0.029825961,0.0238,1391.588672,0.129147746,0.129359,0.150147717,0.0303411319781,0.029825961
3,3,3,4.678,28.3382,12.4423,0.078647205,-19228.62842,-19181.29112,11.9723758,0.47524648,0.308713,38323,0.16,-0.419,-3.681,25.7907,25.8615,cassan_0_102_250.det.lc.gz,0.001152458,-2.938374742,0.00118715,-2.925494403,0.00120211,0.455905257,2.193438186,2.193438186,0.3411254,2.43944,0.387290141,1615.721466,1616.02171,15.61409835,14.3726,0.530065501,0.4952,1621.897165,1.691917274,1.85072,1.737532929,0.495509860248,0.530065501
4,4,4,7.722,22.4851,32.6974,0.223606829,-19629.09996,-19334.6252,3.90070465,0.014415358,0.00716644,38323,0.7,-0.334,-3.056,21.5541,21.6274,cassan_0_109_2397.det.lc.gz,2.21e-05,-4.65582876,0.00122988,-2.910137261,0.00105404,0.668054185,1.496884567,1.496884567,0.175188311,0.683782,-0.165082336,516.8295883,517.0059103,7.063544761,8.04269,0.033197725,0.2821,513.1160581,0.640754145,0.608801,0.828830382,0.282181649857,0.033197725
5,5,5,4.385,23.6125,119.107,1.298354386,-20549.13064,-19550.05323,22.0464008,0.098498898,0.0599321,38323,0.82,0.089,-3.114,20.8057,21.1131,cassan_0_10_3312.det.lc.gz,0.001296198,-2.887328715,0.00279226,-2.554044145,0.000498386,0.919316694,1.087764431,1.087764431,0.036534854,0.757895,-0.120390958,1614.3773,1614.387206,37.79302313,39.6518,1.360652662,2.0953,1619.891497,0.084180341,0.0769143,0.168447737,2.09536724248,1.360652662
6,6,6,8.937,31.4112,169.898,-0.005355111,-19663.75779,-19633.77166,0.8376021,0.882414463,0.789944,38323,0.19,0.0,-0.091,27.5023,27.6454,cassan_0_10_650.det.lc.gz,4.81e-06,-5.317830929,0.000261596,-3.582368901,0.00593563,0.958805656,1.042964227,0.958805656,-0.018269413,1.15211,0.061493946,1635.86779,1635.867943,3.169521069,3.10223,0.006951494,0.0502,1635.861694,0.084136595,0.0875963,0.084158571,0.0534473539713,0.006951494
7,7,7,3.668,22.6721,289.067,-0.257693726,-23662.74665,-20938.78503,27.1639494,0.547582707,0.580642,38323,0.44,-0.183,-2.428,21.5669,21.5989,cassan_0_110_1693.det.lc.gz,0.000306882,-3.513028583,4.9e-05,-4.309764038,0.0004913,0.80703662,1.239101144,0.80703662,-0.093106758,0.778238,-0.108887567,333.8516583,333.8357717,56.29830615,55.8929,0.986236421,0.3913,356.8460858,0.140915873,0.141808,0.432064524,0.392212772399,0.986236421
10,10,10,7.835,26.0288,233.072,0.007251064,-19323.74603,-19251.94107,1.0029516,0.055908469,0.0762182,38323,0.25,0.783,-1.691,24.5172,24.5745,cassan_0_112_2955.det.lc.gz,2.01e-08,-7.697618208,0.000382565,-3.417294765,0.00114311,0.899473009,1.111762098,1.111762098,0.046011864,1.17375,0.069575605,1800.286739,1800.282197,3.375848126,3.38835,0.000478161,0.0663,1799.712225,0.126902272,0.125734,0.212289089,0.0663867354324,0.000478161
11,11,11,6.007,24.0455,242.155,0.004344156,-18943.82111,-18905.8722,24.23817,0.718875314,0.775889,38323,0.52,-1.036,-1.382,22.4105,22.5091,cassan_0_112_536.det.lc.gz,0.000170411,-3.768502132,2.45e-05,-4.610731115,0.00189392,0.451581084,2.214441739,2.214441739,0.345264259,2.15873,0.334198327,173.4144916,173.4276436,16.1376728,16.322,0.210663764,0.0808,148.3452328,0.833327081,0.81875,1.762860656,0.086501877218,0.210663764
12,12,12,6.974,26.0174,82.0065,-0.007239925,-19344.52782,-19204.75537,7.24223587,0.844818883,0.795426,38323,0.4,2.736,1.062,23.9697,24.0544,cassan_0_114_2380.det.lc.gz,0.000170219,-3.768992272,9.97e-06,-5.001344919,0.00525432,0.699184504,1.430237647,0.699184504,-0.155408205,1.43087,0.155600178,161.9148901,161.9139614,9.964457251,9.96181,0.130004239,0.0315,169.1466608,0.087841009,0.0878706,0.731053142,0.0610666905027,0.130004239
