Name magnitude Teff log_g metallicity ra dec A_V d_kpc f_s
cassan_0_100_1920.det.lc.gz 22.6396 4783 4.57 0.17 268.115 -28.2723 6.72 14.836 0.08997
cassan_0_102_1720.det.lc.gz 22.8965 4921 4.58 0.01 267.63 -28.0198 11.759 8.132 0.602553
cassan_0_10_3312.det.lc.gz 23.5492 4544 4.62 0.08 266.862 -29.663 13.441 7.83 0.0908619
cassan_0_10_650.det.lc.gz 22.5449 5841 4.05 -0.26 266.819 -29.6437 16.329 9.832 0.914009
cassan_0_110_1693.det.lc.gz 21.2052 5678 4.47 0.17 269.011 -28.4221 3.318 14.292 0.551702
cassan_0_110_2001.det.lc.gz 22.2666 4334 4.68 -0.12 268.975 -28.4427 3.318 9.364 0.543911
cassan_0_112_1906.det.lc.gz 24.8304 3548 4.88 0.22 268.521 -28.1645 4.785 12.643 0.160909
cassan_0_115_641.det.lc.gz 23.1124 4981 4.62 -0.13 267.759 -27.793 12.304 6.965 0.0711746
cassan_0_123_591.det.lc.gz 24.4179 3406 4.91 0.33 269.163 -28.2394 3.364 10.145 0.320865
cassan_0_137_1145.det.lc.gz 19.5154 5553 4.16 0.05 269.053 -27.8518 4.329 8.025 0.859831
cassan_0_150_495.det.lc.gz 20.9541 5124 4.53 -0.49 269.172 -27.6702 4.714 7.509 0.867308
cassan_0_150_742.det.lc.gz 19.959 5568 3.95 -0.13 269.214 -27.6618 5.728 9.759 0.92132
cassan_0_151_2739.det.lc.gz 21.4405 5823 4.43 0.39 268.902 -27.5379 7.816 10.614 0.819535
cassan_0_19_2049.det.lc.gz 22.4831 3173 4.79 -0.21 267.972 -29.9477 3.748 8.157 0.304134
cassan_0_31_2839.det.lc.gz 18.7443 4881 3.57 0.04 268.373 -29.8372 2.383 10.777 0.955186
cassan_0_32_1164.det.lc.gz 19.9087 5824 4.36 0.09 268.111 -29.74 3.152 8.224 0.874297
cassan_0_32_1213.det.lc.gz 15.9384 4586 2.8 0.1 268.128 -29.7395 3.112 7.186 0.997549
cassan_0_32_462.det.lc.gz 22.2078 4214 4.64 0.34 268.161 -29.736 3.159 11.016 0.145364
cassan_0_33_1599.det.lc.gz 20.393 5955 4.3 -0.03 267.887 -29.601 4.346 9.928 0.523922
cassan_0_33_2252.det.lc.gz 24.6975 3354 5.01 -0.26 267.877 -29.5708 4.276 8.437 0.0392981
cassan_0_34_162.det.lc.gz 24.6069 4109 4.93 0.01 267.641 -29.4492 6.121 9.391 0.041251
cassan_0_34_3231.det.lc.gz 21.1981 5763 4.38 0.26 267.654 -29.4843 6.121 10.999 0.494361
cassan_0_35_3024.det.lc.gz 22.2985 4811 4.55 0.08 267.425 -29.3502 8.724 8.782 0.264618
cassan_0_36_1396.det.lc.gz 23.608 5697 4.47 0.22 267.132 -29.2147 13.897 13.586 0.574975
