,chi_sub,is_in_matts,name
0,"3878    29.271243
Name: chi_sub, dtype: float64",0,cassan_0_102_85.det.lc.gz
1,"3879    37.919193
Name: chi_sub, dtype: float64",0,cassan_0_109_194.det.lc.gz
2,"3880    35.653418
Name: chi_sub, dtype: float64",0,cassan_0_109_2907.det.lc.gz
3,"3886    16.949634
Name: chi_sub, dtype: float64",0,cassan_0_113_302.det.lc.gz
6,"3890    37.244694
Name: chi_sub, dtype: float64",0,cassan_0_123_68.det.lc.gz
7,"3891    32.927085
Name: chi_sub, dtype: float64",0,cassan_0_124_275.det.lc.gz
8,"3892    22.219534
Name: chi_sub, dtype: float64",0,cassan_0_127_1018.det.lc.gz
10,"3895    37.118052
Name: chi_sub, dtype: float64",0,cassan_0_127_2088.det.lc.gz
12,"3897    21.480091
Name: chi_sub, dtype: float64",0,cassan_0_138_66.det.lc.gz
14,"3900    17.75799
Name: chi_sub, dtype: float64",0,cassan_0_150_495.det.lc.gz
15,"3901    20.365591
Name: chi_sub, dtype: float64",0,cassan_0_151_1052.det.lc.gz
16,"3902    16.751725
Name: chi_sub, dtype: float64",0,cassan_0_151_332.det.lc.gz
21,"3910    9.970406
Name: chi_sub, dtype: float64",0,cassan_0_23_1782.det.lc.gz
22,"3911    7.588053
Name: chi_sub, dtype: float64",0,cassan_0_24_3180.det.lc.gz
26,"3917    38.178914
Name: chi_sub, dtype: float64",0,cassan_0_34_2617.det.lc.gz
30,"3926    14.028282
Name: chi_sub, dtype: float64",0,cassan_0_46_3122.det.lc.gz
31,"3929    33.427801
Name: chi_sub, dtype: float64",0,cassan_0_47_1896.det.lc.gz
34,"3933    19.998721
Name: chi_sub, dtype: float64",0,cassan_0_56_810.det.lc.gz
36,"3936    5.206852
Name: chi_sub, dtype: float64",0,cassan_0_59_806.det.lc.gz
37,"3937    5.16438
Name: chi_sub, dtype: float64",0,cassan_0_5_2893.det.lc.gz
38,"3942    3.485189
Name: chi_sub, dtype: float64",0,cassan_0_61_3012.det.lc.gz
40,"3944    23.689761
Name: chi_sub, dtype: float64",0,cassan_0_62_2448.det.lc.gz
41,"3948    10.214582
Name: chi_sub, dtype: float64",0,cassan_0_6_2640.det.lc.gz
42,"3949    38.193356
Name: chi_sub, dtype: float64",0,cassan_0_6_3289.det.lc.gz
44,"3956    22.502759
Name: chi_sub, dtype: float64",0,cassan_0_76_1047.det.lc.gz
45,"3959    14.149566
Name: chi_sub, dtype: float64",0,cassan_0_76_3069.det.lc.gz
46,"3961    30.776195
Name: chi_sub, dtype: float64",0,cassan_0_7_272.det.lc.gz
48,"3964    9.760258
Name: chi_sub, dtype: float64",0,cassan_0_82_3033.det.lc.gz
49,"3970    3.110009
Name: chi_sub, dtype: float64",0,cassan_0_84_2252.det.lc.gz
51,"3974    18.24567
Name: chi_sub, dtype: float64",0,cassan_0_88_1441.det.lc.gz
53,"3976    11.504837
Name: chi_sub, dtype: float64",0,cassan_0_8_2442.det.lc.gz
54,"3980    26.717213
Name: chi_sub, dtype: float64",0,cassan_0_96_929.det.lc.gz
55,"3981    18.261249
Name: chi_sub, dtype: float64",0,cassan_0_97_2946.det.lc.gz
56,"3989    0.000084
Name: chi_sub, dtype: float64",0,cassan_10_109_1624.det.lc.gz
57,"3990    11.761353
Name: chi_sub, dtype: float64",0,cassan_10_109_2648.det.lc.gz
60,"3995    12.63258
Name: chi_sub, dtype: float64",0,cassan_10_110_718.det.lc.gz
61,"3996    28.941342
Name: chi_sub, dtype: float64",0,cassan_10_111_1848.det.lc.gz
62,"3997    0.838938
Name: chi_sub, dtype: float64",0,cassan_10_112_107.det.lc.gz
65,"4001    28.383102
Name: chi_sub, dtype: float64",0,cassan_10_124_3263.det.lc.gz
66,"4002    34.940337
Name: chi_sub, dtype: float64",0,cassan_10_125_1313.det.lc.gz
67,"4003    4.195243
Name: chi_sub, dtype: float64",0,cassan_10_125_641.det.lc.gz
68,"4004    22.586852
Name: chi_sub, dtype: float64",0,cassan_10_125_900.det.lc.gz
70,"4006    15.105732
Name: chi_sub, dtype: float64",0,cassan_10_127_1426.det.lc.gz
71,"4007    19.825211
Name: chi_sub, dtype: float64",0,cassan_10_127_686.det.lc.gz
73,"4009    18.496363
Name: chi_sub, dtype: float64",0,cassan_10_137_2090.det.lc.gz
74,"4012    2.01214
Name: chi_sub, dtype: float64",0,cassan_10_138_746.det.lc.gz
76,"4014    7.248653
Name: chi_sub, dtype: float64",0,cassan_10_150_1550.det.lc.gz
78,"4016    23.186893
Name: chi_sub, dtype: float64",0,cassan_10_18_189.det.lc.gz
80,"4019    26.643259
Name: chi_sub, dtype: float64",0,cassan_10_18_3171.det.lc.gz
81,"4021    17.991032
Name: chi_sub, dtype: float64",0,cassan_10_20_2116.det.lc.gz
82,"4022    23.223479
Name: chi_sub, dtype: float64",0,cassan_10_20_2242.det.lc.gz
84,"4024    11.359575
Name: chi_sub, dtype: float64",0,cassan_10_30_2620.det.lc.gz
85,"4025    0.178142
Name: chi_sub, dtype: float64",0,cassan_10_31_1076.det.lc.gz
87,"4029    25.669068
Name: chi_sub, dtype: float64",0,cassan_10_32_2796.det.lc.gz
88,"4032    18.536243
Name: chi_sub, dtype: float64",0,cassan_10_35_3241.det.lc.gz
90,"4034    39.194354
Name: chi_sub, dtype: float64",0,cassan_10_43_2914.det.lc.gz
91,"4037    37.069869
Name: chi_sub, dtype: float64",0,cassan_10_44_894.det.lc.gz
92,"4038    30.502552
Name: chi_sub, dtype: float64",0,cassan_10_45_2879.det.lc.gz
93,"4039    27.431496
Name: chi_sub, dtype: float64",0,cassan_10_45_2928.det.lc.gz
94,"4040    6.373398
Name: chi_sub, dtype: float64",0,cassan_10_45_575.det.lc.gz
96,"4042    20.400654
Name: chi_sub, dtype: float64",0,cassan_10_47_1866.det.lc.gz
